,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,福岡１区
,,開票所名,,,,計,福岡市東区,福岡市博多区
,,有権者数,,,,453215,255240,197975
,,投票率,(％),,,47.56,50.63,43.60

,,投票者数,,,,215546,129235,86311
,,無効票＋他,,,,6270,3539,2731
,,有効票,,,,209276,125696,83580

当,重複,井上貴博,自民,前,59歳,99430,58191,41239
,,得票率,(％),,,47.51,46.30,49.34
,重複,坪田晋,立民,新,37歳,53755,32491,21264
,,得票率,(％),,,25.69,25.85,25.44
,重複,山本剛正,維新,元,49歳,37604,23372,14232
,,得票率,(％),,,17.97,18.59,17.03
,,木村拓史,共産,新,35歳,18487,11642,6845
,,得票率,(％),,,8.83,9.26,8.19


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,福岡２区
,,開票所名,,,,計,福岡市中央区,福岡市南区２区,福岡市城南区２区
,,有権者数,,,,449552,165319,191034,93199
,,投票率,(％),,,53.81,52.57,53.76,56.11

,,投票者数,,,,241890,86903,102696,52291
,,無効票＋他,,,,3948,1386,1684,878
,,有効票,,,,237942,85517,101012,51413

当,重複,鬼木誠,自民,前,49歳,109382,40919,45343,23120
,,得票率,(％),,,45.97,47.85,44.89,44.97
,重複,稲富修二,立民,前,51歳,101258,33577,44573,23108
,,得票率,(％),,,42.56,39.26,44.13,44.95
,重複,新開崇司,維新,新,50歳,27302,11021,11096,5185
,,得票率,(％),,,11.47,12.89,10.98,10.08


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,福岡３区
,,開票所名,,,,計,福岡市城南区３区,福岡市早良区,福岡市西区,糸島市
,,有権者数,,,,443603,11624,179037,168425,84517
,,投票率,(％),,,54.42,49.83,54.56,53.68,56.22

,,投票者数,,,,241400,5792,97678,90417,47513
,,無効票＋他,,,,8065,281,3593,2907,1284
,,有効票,,,,233335,5511,94085,87510,46229

当,重複,古賀篤,自民,前,49歳,135031,3325,54335,49755,27616
,,得票率,(％),,,57.87,60.33,57.75,56.86,59.74
,重複,山内康一,立民,前,48歳,98304,2186,39750,37755,18613
,,得票率,(％),,,42.13,39.67,42.25,43.14,40.26


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,福岡４区
,,開票所名,,,,計,宗像市,古賀市,福津市,宇美町,篠栗町,志免町,須恵町,新宮町,久山町,粕屋町
,,有権者数,,,,369215,80186,48623,54230,30375,25533,37025,22941,25318,7108,37876
,,投票率,(％),,,53.97,57.86,55.66,56.60,50.80,53.23,48.60,48.72,55.51,57.47,49.54

,,投票者数,,,,199247,46396,27063,30695,15431,13592,17993,11177,14053,4085,18762
,,無効票＋他,,,,4953,1121,635,671,449,342,482,291,319,99,544
,,有効票,,,,194294,45275,26428,30024,14982,13250,17511,10886,13734,3986,18218

当,重複,宮内秀樹,自民,前,59歳,96023,21386,13362,13995,7607,6842,8505,5885,6703,2291,9447
,,得票率,(％),,,49.42,47.24,50.56,46.61,50.77,51.64,48.57,54.06,48.81,57.48,51.86
,重複,森本慎太郎,立民,新,43歳,49935,12251,6889,7529,4124,3425,4470,2567,3421,859,4400
,,得票率,(％),,,25.70,27.06,26.07,25.08,27.53,25.85,25.53,23.58,24.91,21.55,24.15
,重複,阿部弘樹,維新,新,59歳,36998,8409,4668,6678,2473,2341,3530,1834,2946,678,3441
,,得票率,(％),,,19.04,18.57,17.66,22.24,16.51,17.67,20.16,16.85,21.45,17.01,18.89
,重複,竹内信昭,社民,新,68歳,11338,3229,1509,1822,778,642,1006,600,664,158,930
,,得票率,(％),,,5.84,7.13,5.71,6.07,5.19,4.85,5.74,5.51,4.83,3.96,5.10


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,福岡５区
,,開票所名,,,,計,福岡市南区５区,筑紫野市,春日市,大野城市,太宰府市,朝倉市,那珂川市,筑前町,東峰村
,,有権者数,,,,454493,25171,86238,91350,82280,58960,43549,40418,24790,1737
,,投票率,(％),,,54.52,49.07,57.75,55.60,54.07,56.73,51.88,50.13,52.35,61.37

,,投票者数,,,,247785,12351,49805,50792,44492,33448,22594,20260,12977,1066
,,無効票＋他,,,,11764,597,2211,2279,1896,1321,1748,946,683,83
,,有効票,,,,236021,11754,47594,48513,42596,32127,20846,19314,12294,983

当,重複,堤かなめ,立民,新,61歳,125315,5776,25905,24366,22393,17559,11930,10232,6655,499
,,得票率,(％),,,53.09,49.14,54.43,50.23,52.57,54.65,57.23,52.98,54.13,50.76
,,原田義昭,自民,前,77歳,110706,5978,21689,24147,20203,14568,8916,9082,5639,484
,,得票率,(％),,,46.91,50.86,45.57,49.77,47.43,45.35,42.77,47.02,45.87,49.24


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,福岡６区
,,開票所名,,,,計,久留米市,大川市,小郡市,うきは市,大刀洗町,大木町
,重複,西田主税,維新,新,59歳,21829,4444,8314,9071
,,得票率,(％),,,11.37,10.73,12.13,11.07
,,大西啓雅,無,新,51歳,2840,606,1045,1189
,,得票率,(％),,,1.48,1.46,1.52,1.45


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,福岡１１区
,,開票所名,,,,計,田川市,行橋市,豊前市,香春町,添田町,糸田町,川崎町,大任町,赤村,福智町,苅田町,みやこ町,吉富町,上毛町,築上町
,,有権者数,,,,256676,38567,60493,20802,9163,8057,7324,13660,4325,2609,18421,30114,16302,5547,6248,15044
,,投票率,(％),,,54.28,53.26,51.91,59.32,56.66,59.20,54.41,51.54,62.20,59.10,53.41,49.36,56.57,57.02,63.25,58.44

,,投票者数,,,,139332,20541,31401,12339,5192,4770,3985,7040,2690,1542,9838,14865,9222,3163,3952,8792
,,無効票＋他,,,,3029,509,677,202,109,93,82,184,61,26,302,379,183,60,47,115
,,有効票,,,,136303,20032,30724,12137,5083,4677,3903,6856,2629,1516,9536,14486,9039,3103,3905,8677

当,重複,武田良太,自民,前,53歳,75997,10816,16021,6654,3014,2929,2326,4408,1798,974,5830,7755,4962,1779,2372,4359
,,得票率,(％),,,55.76,53.99,52.14,54.82,59.30,62.63,59.60,64.29,68.39,64.25,61.14,53.53,54.90,57.33,60.74,50.24
,,村上智信,無,新,52歳,40996,5331,10524,4047,1346,1165,926,1477,583,334,2296,4530,2949,940,1061,3487
,,得票率,(％),,,30.08,26.61,34.25,33.34,26.48,24.91,23.73,21.54,22.18,22.03,24.08,31.27,32.63,30.29,27.17,40.19
,重複,志岐玲子,社民,新,68歳,19310,3885,4179,1436,723,583,651,971,248,208,1410,2201,1128,384,472,831
,,得票率,(％),,,14.17,19.39,13.60,11.83,14.22,12.47,16.68,14.16,9.43,13.72,14.79,15.19,12.48,12.38,12.09,9.58


