,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,埼玉１区
,,開票所名,,,,計,さいたま市見沼区１区,さいたま市浦和区,さいたま市緑区,さいたま市岩槻区
,,得票率,(％),,,27.20,29.02,24.83,28.31,28.91,25.82,24.48,28.83,19.95,22.20,24.28,24.82,29.33,25.44
,,小山森也,共産,新,30歳,19619,729,2707,3287,6600,346,543,310,470,101,443,579,1260,2244
,,得票率,(％),,,10.87,14.07,9.93,10.22,11.07,9.06,12.17,9.44,9.43,6.09,9.38,10.40,9.97,14.82


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,埼玉１２区
,,開票所名,,,,計,熊谷市１２区,行田市,加須市,羽生市,鴻巣市１２区
,,有権者数,,,,369482,154568,67868,94611,45279,7156
,,投票率,(％),,,55.52,57.97,55.15,53.14,53.57,49.72

,,投票者数,,,,205122,89602,37426,50278,24258,3558
,,無効票＋他,,,,4002,1839,686,949,446,82
,,有効票,,,,201120,87763,36740,49329,23812,3476

当,重複,森田俊和,立民,前,47歳,102627,56480,17401,17293,9989,1464
,,得票率,(％),,,51.03,64.36,47.36,35.06,41.95,42.12
,重複,野中厚,自民,前,44歳,98493,31283,19339,32036,13823,2012
,,得票率,(％),,,48.97,35.64,52.64,64.94,58.05,57.88


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,埼玉１３区
,,開票所名,,,,計,春日部市１３区,越谷市１３区,久喜市１３区,蓮田市,白岡市,宮代町
,,有権者数,,,,400359,167968,32615,73984,52874,44159,28759
,,投票率,(％),,,52.43,48.84,53.45,55.20,55.26,55.53,55.18

,,投票者数,,,,209915,82032,17433,40840,29219,24521,15870
,,無効票＋他,,,,5221,2018,574,968,762,570,330
,,有効票,,,,204694,80014,16859,39872,28457,23951,15540

当,重複,土屋品子,自民,前,69歳,101149,38999,8431,20368,13798,11590,7963
,,得票率,(％),,,49.41,48.74,50.01,51.08,48.49,48.39,51.24
,重複,三角創太,立民,新,33歳,86923,34554,6939,16273,12083,10744,6329
,,得票率,(％),,,42.46,43.18,41.16,40.81,42.46,44.86,40.73
,,赤岸雅治,共産,新,60歳,16622,6461,1489,3231,2576,1617,1248
,,得票率,(％),,,8.12,8.07,8.83,8.10,9.05,6.75,8.03


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,埼玉１４区
,,開票所名,,,,計,春日部市１４区,久喜市１４区,八潮市,三郷市,幸手市,吉川市,杉戸町,松伏町
,,有権者数,,,,442310,30978,54565,75496,116865,42857,59170,37993,24386
,,投票率,(％),,,50.08,49.13,55.17,44.45,48.79,55.48,51.89,52.11,46.38

,,投票者数,,,,221492,15221,30105,33559,57018,23777,30705,19797,11310
,,無効票＋他,,,,5708,383,745,907,1586,535,838,431,283
,,有効票,,,,215784,14838,29360,32652,55432,23242,29867,19366,11027

当,重複,三ツ林裕己,自民,前,66歳,111262,8254,15880,16232,23197,15239,15337,10835,6288
,,得票率,(％),,,51.56,55.63,54.09,49.71,41.85,65.57,51.35,55.95,57.02
,重複,鈴木義弘,国民,元,58歳,72553,4341,8553,11781,24075,5151,10187,5549,2916
,,得票率,(％),,,33.62,29.26,29.13,36.08,43.43,22.16,34.11,28.65,26.44
,,田村勉,共産,新,73歳,31969,2243,4927,4639,8160,2852,4343,2982,1823
,,得票率,(％),,,14.82,15.12,16.78,14.21,14.72,12.27,14.54,15.40,16.53


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,埼玉１５区
,,開票所名,,,,計,川口市１５区,蕨市,戸田市,さいたま市桜区,さいたま市南区
,,有権者数,,,,422917,14720,59983,111041,80039,157134
,,投票率,(％),,,53.65,49.16,56.23,51.11,50.86,56.30

,,投票者数,,,,226898,7237,33728,56753,40710,88470
,,無効票＋他,,,,4483,217,697,1187,792,1590
,,有効票,,,,222415,7020,33031,55566,39918,86880

当,重複,田中良生,自民,前,57歳,102023,3242,16356,26447,18671,37307
,,得票率,(％),,,45.87,46.18,49.52,47.60,46.77,42.94
,重複,高木錬太郎,立民,前,49歳,71958,2341,10355,16609,13942,28711
,,得票率,(％),,,32.35,33.35,31.35,29.89,34.93,33.05
,重複,沢田良,維新,新,42歳,48434,1437,6320,12510,7305,20862
,,得票率,(％),,,21.78,20.47,19.13,22.51,18.30,24.01


