,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,千葉１区
,,開票所名,,,,計,千葉市中央区,千葉市稲毛区,千葉市美浜区
,,有権者数,,,,430513,175707,131524,123282
,,投票率,(％),,,54.51,50.62,54.69,59.88

,,投票者数,,,,234690,88935,71934,73821
,,無効票＋他,,,,6239,2498,1994,1747
,,有効票,,,,228451,86437,69940,72074

当,重複,田嶋要,立民,前,60歳,128556,46889,39583,42084
,,得票率,(％),,,56.27,54.25,56.60,58.39
,重複,門山宏哲,自民,前,57歳,99895,39548,30357,29990
,,得票率,(％),,,43.73,45.75,43.40,41.61


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,千葉２区
,,開票所名,,,,計,千葉市花見川区,習志野市,八千代市
,,有権者数,,,,460509,149432,144967,166110
,,投票率,(％),,,54.65,53.59,57.86,52.81

,,投票者数,,,,251675,80082,83875,87718
,,無効票＋他,,,,5023,1695,1773,1555
,,有効票,,,,246652,78387,82102,86163

当,重複,小林鷹之,自民,前,46歳,153017,45617,51176,56224
,,得票率,(％),,,62.04,58.19,62.33,65.25
,重複,黒田雄,立民,元,62歳,69583,22878,23659,23046
,,得票率,(％),,,28.21,29.19,28.82,26.75
,重複,寺尾賢,共産,新,45歳,24052,9892,7267,6893
,,得票率,(％),,,9.75,12.62,8.85,8.00


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,千葉３区
,,開票所名,,,,計,千葉市緑区,市原市
,,開票所名,,,,計,松戸市７区,野田市,流山市
,,有権者数,,,,434040,142837,128873,162330
,,投票率,(％),,,54.54,54.48,48.90,59.07

,,投票者数,,,,236715,77814,63014,95887
,,無効票＋他,,,,4776,1742,1460,1574
,,有効票,,,,231939,76072,61554,94313

当,重複,齋藤健,自民,前,62歳,127548,41033,35035,51480
,,得票率,(％),,,54.99,53.94,56.92,54.58
,重複,竹内千春,立民,新,53歳,71048,24250,18220,28578
,,得票率,(％),,,30.63,31.88,29.60,30.30
,重複,内山晃,維新,元,67歳,28594,9125,6962,12507
,,得票率,(％),,,12.33,12.00,11.31,13.26
,,渡辺晋宏,Ｎ党,新,36歳,4749,1664,1337,1748
,,得票率,(％),,,2.05,2.19,2.17,1.85


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,千葉８区
,,開票所名,,,,計,柏市８区,我孫子市
,,有権者数,,,,423866,311891,111975
,,投票率,(％),,,56.16,55.32,58.51

,,投票者数,,,,238059,172545,65514
,,無効票＋他,,,,11533,8492,3041
,,有効票,,,,226526,164053,62473

当,重複,本庄知史,立民,新,47歳,135125,96454,38671
,,得票率,(％),,,59.65,58.79,61.90
,重複,桜田義孝,自民,前,71歳,81556,59639,21917
,,得票率,(％),,,36.00,36.35,35.08
,,宮岡進一郎,無,新,80歳,9845,7960,1885
,,得票率,(％),,,4.35,4.85,3.02


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,千葉９区
,,開票所名,,,,計,千葉市若葉区,佐倉市,四街道市,八街市
,,有権者数,,,,407331,125261,146332,78007,57731
,,投票率,(％),,,53.01,49.35,57.83,54.30,47.01

,,投票者数,,,,215942,61821,84624,42357,27140
,,無効票＋他,,,,5879,1800,2120,1043,916
,,有効票,,,,210063,60021,82504,41314,26224

当,重複,奥野総一郎,立民,前,57歳,107322,29627,43702,21536,12457
,,得票率,(％),,,51.09,49.36,52.97,52.13,47.50
,重複,秋本真利,自民,前,46歳,102741,30394,38802,19778,13767
,,得票率,(％),,,48.91,50.64,47.03,47.87,52.50


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,千葉１０区
,,開票所名,,,,計,銚子市,成田市,旭市,匝瑳市,香取市,神崎町,多古町,東庄町,横芝光町１０区
,,有権者数,,,,341141,50181,105305,53873,30212,63984,5090,12151,11573,8772
,,投票率,(％),,,53.28,51.27,51.88,51.86,51.69,54.84,61.93,61.90,61.79,56.42

,,投票者数,,,,181770,25728,54628,27937,15616,35088,3152,7521,7151,4949
,,無効票＋他,,,,4532,655,1707,594,377,726,55,169,143,106
,,有効票,,,,177238,25073,52921,27343,15239,34362,3097,7352,7008,4843

当,,林幹雄,自民,前,74歳,83822,13178,23939,13155,7334,14634,1381,3890,4329,1982
,,得票率,(％),,,47.29,52.56,45.24,48.11,48.13,42.59,44.59,52.91,61.77,40.93
,重複,谷田川元,立民,前,58歳,80971,10398,23640,12506,7080,17783,1511,3137,2347,2569
,,得票率,(％),,,45.68,41.47,44.67,45.74,46.46,51.75,48.79,42.67,33.49,53.05
,,梓まり,諸派,新,50歳,10272,1186,4433,1413,675,1611,179,278,272,225
,,得票率,(％),,,5.80,4.73,8.38,5.17,4.43,4.69,5.78,3.78,3.88,4.65
,,今留尚人,無,新,56歳,2173,311,909,269,150,334,26,47,60,67
,,得票率,(％),,,1.23,1.24,1.72,0.98,0.98,0.97,0.84,0.64,0.86,1.38


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,千葉１１区
,,開票所名,,,,計,茂原市,東金市,勝浦市,山武市,いすみ市,大網白里市,九十九里町,芝山町,横芝光町１１区,一宮町,睦沢町,長生村,白子町,長柄町,長南町,大多喜町,御宿町
,,有権者数,,,,351570,75633,48626,14920,43029,32158,41791,13310,6026,11001,10362,5995,12142,9566,5929,6877,7615,6590
,,投票率,(％),,,51.38,49.51,50.04,50.51,49.16,51.51,53.76,49.13,50.78,50.51,56.71,56.13,52.64,53.56,54.16,58.98,56.99,54.83

,,投票者数,,,,180631,37449,24333,7536,21152,16563,22466,6539,3060,5557,5876,3365,6391,5124,3211,4056,4340,3613
,,無効票＋他,,,,9104,1821,1411,362,1080,865,1197,334,144,275,293,115,252,248,127,145,206,229
,,有効票,,,,171527,35628,22922,7174,20072,15698,21269,6205,2916,5282,5583,3250,6139,4876,3084,3911,4134,3384

当,,森英介,自民,前,73歳,110538,21735,14558,4968,13429,9920,13054,4188,2050,3826,3363,2180,4011,3202,2089,2822,2978,2165
,,得票率,(％),,,64.44,61.01,63.51,69.25,66.90,63.19,61.38,67.49,70.30,72.43,60.24,67.08,65.34,65.67,67.74,72.16,72.04,63.98
,,椎名史明,共産,新,64歳,30557,6448,4491,1168,3629,2868,4249,1118,417,746,960,506,1105,781,428,495,503,645
,,得票率,(％),,,17.81,18.10,19.59,16.28,18.08,18.27,19.98,18.02,14.30,14.12,17.20,15.57,18.00,16.02,13.88,12.66,12.17,19.06
,重複,多ケ谷亮,れ新,新,52歳,30432,7445,3873,1038,3014,2910,3966,899,449,710,1260,564,1023,893,567,594,653,574
,,得票率,(％),,,17.74,20.90,16.90,14.47,15.02,18.54,18.65,14.49,15.40,13.44,22.57,17.35,16.66,18.31,18.39,15.19,15.80,16.96


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,千葉１２区
,,開票所名,,,,計,館山市,木更津市,鴨川市,君津市,富津市,袖ケ浦市,南房総市,鋸南町
,,有権者数,,,,380864,39403,112529,27715,70993,37773,53606,32283,6562
,,投票率,(％),,,52.20,51.07,50.16,53.05,53.10,52.82,52.05,55.46,62.19

,,投票者数,,,,198805,20123,56446,14702,37695,19951,27902,17905,4081
,,無効票＋他,,,,6318,617,1969,479,1173,576,908,504,92
,,有効票,,,,192487,19506,54477,14223,36522,19375,26994,17401,3989

当,重複,浜田靖一,自民,前,66歳,123210,11841,34912,9497,22927,13255,16672,11433,2673
,,得票率,(％),,,64.01,60.70,64.09,66.77,62.78,68.41,61.76,65.70,67.01
,重複,樋高剛,立民,元,55歳,56747,6272,16014,3940,11325,5020,8266,4861,1049
,,得票率,(％),,,29.48,32.15,29.40,27.70,31.01,25.91,30.62,27.94,26.30
,,葛原茂,共産,新,70歳,12530,1393,3551,786,2270,1100,2056,1107,267
,,得票率,(％),,,6.51,7.14,6.52,5.53,6.22,5.68,7.62,6.36,6.69


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,千葉１３区
,,開票所名,,,,計,船橋市１３区,柏市１３区,鎌ケ谷市,印西市,白井市,富里市,酒々井町,栄町
,,有権者数,,,,416857,68780,43709,93056,84285,51118,40597,17493,17819
,,投票率,(％),,,54.49,49.88,53.28,53.57,58.06,59.14,49.86,56.11,58.79

,,投票者数,,,,227138,34310,23286,49846,48934,30230,20242,9815,10475
,,無効票＋他,,,,4751,841,765,874,801,541,534,177,218
,,有効票,,,,222387,33469,22521,48972,48133,29689,19708,9638,10257

当,重複,松本尚,自民,新,59歳,100227,14342,11171,17047,24365,12802,10491,4698,5311
,,得票率,(％),,,45.07,42.85,49.60,34.81,50.62,43.12,53.23,48.74,51.78
,重複,宮川伸,立民,前,51歳,79687,14352,7980,15848,16222,11086,6638,3961,3600
,,得票率,(％),,,35.83,42.88,35.43,32.36,33.70,37.34,33.68,41.10,35.10
,重複,清水聖士,維新,新,60歳,42473,4775,3370,16077,7546,5801,2579,979,1346
,,得票率,(％),,,19.10,14.27,14.96,32.83,15.68,19.54,13.09,10.16,13.12


