,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京１区
,,開票所名,,,,計,千代田区,港区１区,新宿区１区
,,有権者数,,,,462609,54340,170761,237508
,,投票率,(％),,,56.27,61.23,55.02,56.04

,,投票者数,,,,260310,33271,93950,133089
,,無効票＋他,,,,6189,696,2039,3454
,,有効票,,,,254121,32575,91911,129635

当,重複,山田美樹,自民,前,47歳,99133,14144,35956,49033
,,得票率,(％),,,39.01,43.42,39.12,37.82
,重複,海江田万里,立民,前,72歳,90043,9958,31084,49001
,,得票率,(％),,,35.43,30.57,33.82,37.80
,重複,小野泰輔,維新,新,47歳,60230,7822,23351,29057
,,得票率,(％),,,23.70,24.01,25.41,22.41
,,内藤久遠,無,新,64歳,4715,651,1520,2544
,,得票率,(％),,,1.86,2.00,1.65,1.96


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京２区
,,開票所名,,,,計,中央区,港区２区,文京区,台東区２区
,,有権者数,,,,463165,138551,32997,184802,106815
,,投票率,(％),,,60.82,58.45,50.98,65.06,59.61

,,投票者数,,,,281720,80988,16821,120239,63672
,,無効票＋他,,,,7117,2195,484,2765,1673
,,有効票,,,,274603,78793,16337,117474,61999

当,重複,辻清人,自民,前,42歳,119281,35828,7224,48595,27634
,,得票率,(％),,,43.44,45.47,44.22,41.37,44.57
,重複,松尾明弘,立民,前,46歳,90422,22511,4758,43446,19707
,,得票率,(％),,,32.93,28.57,29.12,36.98,31.79
,重複,木内孝胤,維新,元,55歳,45754,15261,3161,17333,9999
,,得票率,(％),,,16.66,19.37,19.35,14.75,16.13
,重複,北村造,れ新,新,38歳,14487,3737,882,6239,3629
,,得票率,(％),,,5.28,4.74,5.40,5.31,5.85
,,出口紳一郎,無,新,48歳,4659,1456,312,1861,1030
,,得票率,(％),,,1.70,1.85,1.91,1.58,1.66


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京３区
,,開票所名,,,,計,品川区３区,大田３区,大島町,利島村,新島村,神津島村,三宅村,御蔵島村,八丈町,青ヶ島村,小笠原村
,,有権者数,,,,470083,305353,143820,6201,264,2245,1544,2064,248,6091,152,2101
,,投票率,(％),,,59.87,58.90,61.44,62.96,84.09,63.65,67.10,64.15,81.85,61.62,82.89,58.92

,,投票者数,,,,281438,179845,88358,3904,222,1429,1036,1324,203,3753,126,1238
,,無効票＋他,,,,9076,5645,2902,221,9,41,16,43,13,122,8,56
,,有効票,,,,272362,174200,85456,3683,213,1388,1020,1281,190,3631,118,1182

当,重複,松原仁,立民,前,65歳,124961,78629,41371,1222,44,499,460,464,83,1575,33,581
,,得票率,(％),,,45.88,45.14,48.41,33.18,20.66,35.95,45.10,36.22,43.68,43.38,27.97,49.15
,重複,石原宏高,自民,前,57歳,116753,75200,34893,2006,157,807,527,711,87,1812,73,480
,,得票率,(％),,,42.87,43.17,40.83,54.47,73.71,58.14,51.67,55.50,45.79,49.90,61.86,40.61
,,香西克介,共産,新,45歳,30648,20371,9192,455,12,82,33,106,20,244,12,121
,,得票率,(％),,,11.25,11.69,10.76,12.35,5.63,5.91,3.24,8.27,10.53,6.72,10.17,10.24


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京４区
,,開票所名,,,,計,大田４区
,,得票率,(％),,,37.17,37.17
,重複,笠谷圭司,維新,新,41歳,40763,40763
,,得票率,(％),,,14.38,14.38


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京９区
,,開票所名,,,,計,練馬９区
,,有権者数,,,,478743,478743
,,投票率,(％),,,57.71,57.71

,,投票者数,,,,276290,276290
,,無効票＋他,,,,8584,8584
,,有効票,,,,267706,267706

当,重複,山岸一生,立民,新,40歳,109489,109489
,,得票率,(％),,,40.90,40.90
,重複,安藤高夫,自民,前,62歳,95284,95284
,,得票率,(％),,,35.59,35.59
,重複,南純,維新,新,38歳,47842,47842
,,得票率,(％),,,17.87,17.87
,,小林興起,やまと,元,77歳,15091,15091
,,得票率,(％),,,5.64,5.64


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京１０区
,,開票所名,,,,計,新宿区１０区,中野区１０区,豊島区１０区,練馬１０区
,,有権者数,,,,479088,37987,141232,159117,140752
,,投票率,(％),,,56.50,55.74,56.62,55.72,57.47

,,投票者数,,,,270684,21175,79971,88653,80885
,,無効票＋他,,,,7831.004,638.001,2214.001,2740.001,2239.001
,,有効票,,,,262852.996,20536.999,77756.999,85912.999,78645.999

当,重複,鈴木隼人,自民,前,44歳,115122.887,9124.99,32486.688,37908.83,35602.379
,,得票率,(％),,,43.80,44.43,41.78,44.12,45.27
,重複,鈴木庸介,立民,新,45歳,107920.109,8129.009,34052.311,34669.169,31069.62
,,得票率,(％),,,41.06,39.58,43.79,40.35,39.51
,重複,藤川隆史,維新,新,65歳,30574,2517,8357,10410,9290
,,得票率,(％),,,11.63,12.26,10.75,12.12,11.81
,,小山徹,無,新,46歳,4684,367,1329,1534,1454
,,得票率,(％),,,1.78,1.79,1.71,1.79,1.85
,,沢口祐司,諸派,新,67歳,4552,399,1532,1391,1230
,,得票率,(％),,,1.73,1.94,1.97,1.62,1.56


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京１１区
,,開票所名,,,,計,板橋区１１区
,,有権者数,,,,462626,462626
,,投票率,(％),,,54.97,54.97

,,投票者数,,,,254315,254315
,,無効票＋他,,,,9272,9272
,,有効票,,,,245043,245043

当,重複,下村博文,自民,前,67歳,122465,122465
,,得票率,(％),,,49.98,49.98
,重複,阿久津幸彦,立民,前,65歳,87635,87635
,,得票率,(％),,,35.76,35.76
,,西之原修斗,共産,新,27歳,29304,29304
,,得票率,(％),,,11.96,11.96
,,桑島康文,無,新,60歳,5639,5639
,,得票率,(％),,,2.30,2.30


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京１２区
,,開票所名,,,,計,豊島区１２区,北区,板橋区１２区,足立１２区
,,有権者数,,,,462732,73257,289832,10998,88645
,,投票率,(％),,,57.45,57.74,59.46,53.94,51.05

,,投票者数,,,,265821,42301,172339,5932,45249
,,無効票＋他,,,,12530,2199,8086,273,1972
,,有効票,,,,253291,40102,164253,5659,43277

当,,岡本三成,公明,前,56歳,101020,14223,63578,2574,20645
,,得票率,(％),,,39.88,35.47,38.71,45.49,47.70
,重複,阿部司,維新,新,39歳,80323,14448,52698,1658,11519
,,得票率,(％),,,31.71,36.03,32.08,29.30,26.62
,重複,池内沙織,共産,元,39歳,71948,11431,47977,1427,11113
,,得票率,(％),,,28.41,28.50,29.21,25.22,25.68


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京１３区
,,開票所名,,,,計,足立１３区
,,有権者数,,,,480247,480247
,,投票率,(％),,,50.88,50.88

,,投票者数,,,,244353,244353
,,無効票＋他,,,,9791,9791
,,有効票,,,,234562,234562

当,重複,土田慎,自民,新,31歳,115669,115669
,,得票率,(％),,,49.31,49.31
,重複,北條智彦,立民,新,38歳,78665,78665
,,得票率,(％),,,33.54,33.54
,,沢田真吾,共産,新,36歳,30204,30204
,,得票率,(％),,,12.88,12.88
,,渡辺秀高,無,新,50歳,5985,5985
,,得票率,(％),,,2.55,2.55
,,橋本孫美,無,新,44歳,4039,4039
,,得票率,(％),,,1.72,1.72


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京１４区
,,開票所名,,,,計,台東区１４区,墨田区,荒川区
,,有権者数,,,,465702,62585,231773,171344
,,投票率,(％),,,55.96,53.92,56.46,56.03

,,投票者数,,,,260611,33748,130851,96012
,,無効票＋他,,,,9500,1480,4493,3527
,,有効票,,,,251111,32268,126358,92485

当,重複,松島みどり,自民,前,65歳,108681,13791,55291,39599
,,得票率,(％),,,43.28,42.74,43.76,42.82
,重複,木村剛司,立民,元,50歳,80932,10313,40010,30609
,,得票率,(％),,,32.23,31.96,31.66,33.10
,重複,西村恵美,維新,新,58歳,49517,6329,25271,17917
,,得票率,(％),,,19.72,19.61,20.00,19.37
,,梁本和則,無,新,58歳,5845,955,2779,2111
,,得票率,(％),,,2.33,2.96,2.20,2.28
,,竹本秀之,無,新,65歳,3364,408,1811,1145
,,得票率,(％),,,1.34,1.26,1.43,1.24
,,大塚紀久雄,無,新,80歳,2772,472,1196,1104
,,得票率,(％),,,1.10,1.46,0.95,1.19


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京１５区
,,開票所名,,,,計,江東区
,,有権者数,,,,424125,424125
,,投票率,(％),,,58.73,58.73

,,投票者数,,,,249103,249103
,,無効票＋他,,,,10783,10783
,,有効票,,,,238320,238320

当,,柿沢未途,自民,前,50歳,76261,76261
,,得票率,(％),,,32.00,32.00
,重複,井戸正枝,立民,元,55歳,58978,58978
,,得票率,(％),,,24.75,24.75
,重複,金澤結衣,維新,新,31歳,44882,44882
,,得票率,(％),,,18.83,18.83
,,今村洋史,無,元,59歳,26628,26628
,,得票率,(％),,,11.17,11.17
,,猪野隆,無,新,56歳,17514,17514
,,得票率,(％),,,7.35,7.35
,,桜井誠,第一,新,49歳,9449,9449
,,得票率,(％),,,3.96,3.96
,,吉田浩司,無,新,61歳,4608,4608
,,得票率,(％),,,1.93,1.93


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京１６区
,,開票所名,,,,計,江戸川１６区
,,有権者数,,,,465115,465115
,,投票率,(％),,,51.58,51.58

,,投票者数,,,,239908,239908
,,無効票＋他,,,,10380,10380
,,有効票,,,,229528,229528

当,,大西英男,自民,前,75歳,88758,88758
,,得票率,(％),,,38.67,38.67
,重複,水野素子,立民,新,51歳,68397,68397
,,得票率,(％),,,29.80,29.80
,重複,中津川博郷,維新,元,72歳,39290,39290
,,得票率,(％),,,17.12,17.12
,,太田彩花,共産,新,26歳,26819,26819
,,得票率,(％),,,11.68,11.68
,重複,田中健,Ｎ党,新,55歳,6264,6264
,,得票率,(％),,,2.73,2.73


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京１７区
,,開票所名,,,,計,葛飾区,江戸川１７区
,,有権者数,,,,475912,381481,94431
,,投票率,(％),,,53.06,53.28,52.17

,,投票者数,,,,252512,203244,49268
,,無効票＋他,,,,14456,11968,2488
,,有効票,,,,238056,191276,46780

当,,平沢勝栄,自民,前,76歳,119384,95819,23565
,,得票率,(％),,,50.15,50.09,50.37
,重複,猪口幸子,維新,新,65歳,52260,42330,9930
,,得票率,(％),,,21.95,22.13,21.23
,,新井杉生,共産,新,62歳,36309,29323,6986
,,得票率,(％),,,15.25,15.33,14.93
,重複,円より子,国民,新,74歳,30103,23804,6299
,,得票率,(％),,,12.65,12.44,13.47


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京１８区
,,開票所名,,,,計,武蔵野市,府中市,小金井市
,,有権者数,,,,444924,124980,216038,103906
,,投票率,(％),,,59.86,61.45,58.42,60.93

,,投票者数,,,,266326,76806,126208,63312
,,無効票＋他,,,,7203,1931,3637,1635
,,有効票,,,,259123,74875,122571,61677

当,重複,菅直人,立民,前,75歳,122091,37826,54512,29753
,,得票率,(％),,,47.12,50.52,44.47,48.24
,重複,長島昭久,自民,前,59歳,115881,31522,57302,27057
,,得票率,(％),,,44.72,42.10,46.75,43.87
,,子安正美,無,新,71歳,21151,5527,10757,4867
,,得票率,(％),,,8.16,7.38,8.78,7.89


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京１９区
,,開票所名,,,,計,小平市,国分寺市,西東京市
,,有権者数,,,,439147,160960,106679,171508
,,投票率,(％),,,60.00,59.66,62.37,58.84

,,投票者数,,,,263486,96025,66541,100920
,,無効票＋他,,,,4906,1731,1341,1834
,,有効票,,,,258580,94294,65200,99086

当,重複,末松義規,立民,前,64歳,111267,40302,28456,42509
,,得票率,(％),,,43.03,42.74,43.64,42.90
,重複,松本洋平,自民,前,48歳,109131,41057,27524,40550
,,得票率,(％),,,42.20,43.54,42.21,40.92
,重複,山崎英昭,維新,新,48歳,38182,12935,9220,16027
,,得票率,(％),,,14.77,13.72,14.14,16.17


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京２０区
,,開票所名,,,,計,東村山市,東大和市,清瀬市,東久留米市,武蔵村山市
,,有権者数,,,,418245,127237,71260,63008,98165,58575
,,投票率,(％),,,56.77,58.04,56.86,58.43,57.42,51.04

,,投票者数,,,,237441,73849,40517,36818,56363,29894
,,無効票＋他,,,,6215,1882,1182,832,1477,842
,,有効票,,,,231226,71967,39335,35986,54886,29052

当,重複,木原誠二,自民,前,51歳,121621,38535,20849,18102,27375,16760
,,得票率,(％),,,52.60,53.55,53.00,50.30,49.88,57.69
,重複,宮本徹,共産,前,49歳,66516,20241,10795,11318,16894,7268
,,得票率,(％),,,28.77,28.13,27.44,31.45,30.78,25.02
,重複,前田順一郎,維新,新,46歳,43089,13191,7691,6566,10617,5024
,,得票率,(％),,,18.64,18.33,19.55,18.25,19.34,17.29


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京２１区
,,開票所名,,,,計,八王子市２１区,立川市,日野市,国立市,多摩市２１区,稲城市２１区
,,有権者数,,,,438466,10000,154509,156436,64665,26935,25921
,,投票率,(％),,,57.72,51.53,55.47,58.28,60.90,58.67,61.18

,,投票者数,,,,253070,5153,85709,91167,39380,15803,15858
,,無効票＋他,,,,6020,159,1993,2161,950,413,344
,,有効票,,,,247050,4994,83716,89006,38430,15390,15514

当,重複,小田原潔,自民,前,57歳,112433,2296,40485,40534,16047,6513,6558
,,得票率,(％),,,45.51,45.98,48.36,45.54,41.76,42.32,42.27
,重複,大河原雅子,立民,前,68歳,99090,1902,31505,35914,17030,6351,6388
,,得票率,(％),,,40.11,38.09,37.63,40.35,44.31,41.27,41.18
,重複,竹田光明,維新,元,66歳,35527,796,11726,12558,5353,2526,2568
,,得票率,(％),,,14.38,15.94,14.01,14.11,13.93,16.41,16.55


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京２２区
,,開票所名,,,,計,三鷹市,調布市,狛江市,稲城市２２区
,,有権者数,,,,478721,159361,199250,70478,49632
,,投票率,(％),,,60.01,60.41,59.65,61.11,58.59

,,投票者数,,,,287274,96275,118847,43071,29081
,,無効票＋他,,,,7014,2311,2792,1093,818
,,有効票,,,,280260,93964,116055,41978,28263

当,重複,伊藤達也,自民,前,60歳,131351,41874,55281,20081,14115
,,得票率,(％),,,46.87,44.56,47.63,47.84,49.94
,重複,山花郁夫,立民,前,54歳,112393,39144,45975,16491,10783
,,得票率,(％),,,40.10,41.66,39.61,39.28,38.15
,重複,櫛渕万里,れ新,元,54歳,31981,11416,12933,4746,2886
,,得票率,(％),,,11.41,12.15,11.14,11.31,10.21
,,長谷川洋平,Ｎ党,新,44歳,4535,1530,1866,660,479
,,得票率,(％),,,1.62,1.63,1.61,1.57,1.69


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京２３区
,,開票所名,,,,計,町田市,多摩市２３区
,,有権者数,,,,458998,360447,98551
,,投票率,(％),,,58.37,57.92,60.00

,,投票者数,,,,267918,208784,59134
,,無効票＋他,,,,7980,6348,1632
,,有効票,,,,259938,202436,57502

当,重複,小倉將信,自民,前,40歳,133206,105576,27630
,,得票率,(％),,,51.25,52.15,48.05
,重複,伊藤俊輔,立民,前,42歳,126732,96860,29872
,,得票率,(％),,,48.75,47.85,51.95


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京２４区
,,開票所名,,,,計,八王子市２４区
,,有権者数,,,,463096,463096
,,投票率,(％),,,56.77,56.77

,,投票者数,,,,262883,262883
,,無効票＋他,,,,8121,8121
,,有効票,,,,254762,254762

当,重複,萩生田光一,自民,前,58歳,149152,149152
,,得票率,(％),,,58.55,58.55
,重複,佐藤由美,国民,新,49歳,44546,44546
,,得票率,(％),,,17.49,17.49
,,吉川穂香,共産,新,26歳,44474,44474
,,得票率,(％),,,17.46,17.46
,重複,朝倉玲子,社民,新,62歳,16590,16590
,,得票率,(％),,,6.51,6.51


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,東京２５区
,,開票所名,,,,計,青梅市,昭島市,福生市,羽村市,あきる野市,瑞穂町,日の出町,檜原村,奥多摩町
,,有権者数,,,,413266,112571,94642,46359,45405,67116,27180,13685,1893,4415
,,投票率,(％),,,54.90,55.18,54.78,54.11,55.43,55.30,50.25,57.31,67.14,63.06

,,投票者数,,,,226880,62113,51847,25084,25167,37113,13658,7843,1271,2784
,,無効票＋他,,,,5459,1375,1351,683,638,853,320,157,25,57
,,有効票,,,,221421,60738,50496,24401,24529,36260,13338,7686,1246,2727

当,重複,井上信治,自民,前,52歳,131430,37246,28477,14693,13479,21420,8603,4699,927,1886
,,得票率,(％),,,59.36,61.32,56.39,60.21,54.95,59.07,64.50,61.14,74.40,69.16
,重複,島田幸成,立民,新,53歳,89991,23492,22019,9708,11050,14840,4735,2987,319,841
,,得票率,(％),,,40.64,38.68,43.61,39.79,45.05,40.93,35.50,38.86,25.60,30.84


